Altium Designer Pick and Place Locations
G:\202105\NC-1\LEDController_NC-1\Project Outputs for LEDController_NC-1\Pick and Place File\Pick Place for LEDController.csv

========================================================================================================================
File Design Information:

Date:       28/05/21
Time:       10:37
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"RR10","0603","TopLayer","R0603","12445.000","4215.000","360","RES SMD 1K OHM 1% 1/10W 0603"
"RR9","0603","TopLayer","R0603","12265.000","4215.000","360","RES SMD 1K OHM 1% 1/10W 0603"
"RR8","0603","TopLayer","R0603","11960.000","4090.000","90","RES SMD 1K OHM 1% 1/10W 0603"
"RR7","0603","TopLayer","R0603","11960.000","3910.000","90","RES SMD 1K OHM 1% 1/10W 0603"
"RR6","0603","TopLayer","R0603","11965.000","3715.000","90","RES SMD 1K OHM 1% 1/10W 0603"
"RR5","0603","TopLayer","R0603","12085.000","3595.000","180","RES SMD 1K OHM 1% 1/10W 0603"
"RR4","0603","TopLayer","R0603","12275.000","3595.000","180","RES SMD 1K OHM 1% 1/10W 0603"
"RR3","0603","TopLayer","R0603","12465.000","3595.000","180","RES SMD 1K OHM 1% 1/10W 0603"
"RR2","0603","TopLayer","R0603","12600.000","3745.000","270","RES SMD 1K OHM 1% 1/10W 0603"
"RR1","0603","TopLayer","R0603","12663.504","3900.000","180","RES SMD 1K OHM 1% 1/10W 0603"
"ROTARY2","56DP36-01-1-AJN","TopLayer","56DP36-01-1-AJN","13900.000","3900.000","0","Switch Rotary SP Flatted Shaft PC Pins 0.2A 115VAC 30VDC"
"ROTARY1","56DP36-01-1-AJN","TopLayer","56DP36-01-1-AJN","12275.000","3900.000","0","Switch Rotary SP Flatted Shaft PC Pins 0.2A 115VAC 30VDC"
"RL29","0603","TopLayer","R0603","12950.000","2220.000","270","RES SMD 10K OHM 5% 1/10W 0603"
"RL28","0603","TopLayer","R0603","12855.000","2220.000","270","RES SMD 10K OHM 5% 1/10W 0603"
"RL27","0603","TopLayer","R0603","8760.000","1620.000","180","RES SMD 10K OHM 5% 1/10W 0603"
"RL26","0603","TopLayer","R0603","8758.504","1520.000","180","RES SMD 10K OHM 5% 1/10W 0603"
"RL25","0603","TopLayer","R0603","8758.504","1420.000","180","RES SMD 10K OHM 5% 1/10W 0603"
"RL24","0603","TopLayer","R0603","8755.000","1320.000","180","RES SMD 10K OHM 5% 1/10W 0603"
"RL23","0603","TopLayer","R0603","13603.504","1095.000","180","RES SMD 330 OHM 1% 1/10W 0603"
"RL22","0603","TopLayer","R0603","13605.000","1005.000","360","RES SMD 330 OHM 1% 1/10W 0603"
"R8","RK09L1140A2U","TopLayer","EVUFXM","12274.213","2221.654","0","Potentiometers Sgl Unit Vert Flat Snap-in 10K Ohms 20%"
"R7","RK09L1140A2U","TopLayer","EVUFXM","12274.213","496.654","0","Potentiometers Sgl Unit Vert Flat Snap-in 10K Ohms 20%"
"R6","RK09L1140A2U","TopLayer","EVUFXM","10649.213","496.654","0","Potentiometers Sgl Unit Vert Flat Snap-in 10K Ohms 20%"
"R5","RK09L1140A2U","TopLayer","EVUFXM","9024.213","496.654","0","Potentiometers Sgl Unit Vert Flat Snap-in 10K Ohms 20%"
"R4","RK09L1140A2U","TopLayer","EVUFXM","5775.783","496.654","0","Potentiometers Sgl Unit Vert Flat Snap-in 10K Ohms 20%"
"R3","RK09L1140A2U","TopLayer","EVUFXM","4149.213","496.654","0","Potentiometers Sgl Unit Vert Flat Snap-in 10K Ohms 20%"
"R2","RK09L1140A2U","TopLayer","EVUFXM","2524.213","496.654","0","Potentiometers Sgl Unit Vert Flat Snap-in 10K Ohms 20%"
"R1","RK09L1140A2U","TopLayer","EVUFXM","899.213","496.654","0","Potentiometers Sgl Unit Vert Flat Snap-in 10K Ohms 20%"
"PWM_L","PWM_L","TopLayer","HEADER_8X1_8.5MM","2800.000","3300.000","180","CONN HEADER VERT 8POS 2.54MM"
"PWM_H","PWM_H","TopLayer","HEADER_8X1_8.5MM","1940.000","3300.000","180","CONN HEADER VERT 8POS 2.54MM"
"POWER","POWER","TopLayer","HEADER_6X1_8.5MM","2200.000","1400.000","180","CONN HEADER VERT 6POS 2.54MM"
"POWER_INDICATOR","WP59EYW","TopLayer","DUOLED-C-5MM","13900.000","1096.850","180","Red, Yellow 617nm Red, 588nm Yellow LED Indication - Discrete 2V Red, 2.1V Yellow Radial - 3 Leads"
"PIN","Header 2","BottomLayer","5.08MMSCREW","177.402","1085.315","270","TERMINAL BLOCK, SCREW TYPE, 5.08"
"P_LED2","E5566-Q0LK22-L","BottomLayer","E5566Q0LK22L","249.724","4481.221","270","CONN MOD JACK 6P6C R/A UNSHLD"
"P_LED1","Header 6","BottomLayer","HDR1X6","234.173","2576.339","90","CONN HEADER VERT 6POS 2.54MM"
"P_JUMPER","Header 3X2","TopLayer","HDR2X3","3637.126","3524.291","180","CONN HEADER VERT 6POS 2.54MM"
"LP2","12x12mm","BottomLayer","12x12mmInductor","4494.000","3987.016","90","FIXED IND 47UH 3.8A 60 MOHM SMD"
"LED20","LED 3mm","TopLayer","LED3MM","14093.140","3305.590","90","LED RED DIFFUSED T-1 3/4 T/H"
"LED19","LED 3mm","TopLayer","LED3MM","14405.633","3532.630","90","LED RED DIFFUSED T-1 3/4 T/H"
"LED18","LED 3mm","TopLayer","LED3MM","14525.000","3900.000","180","LED RED DIFFUSED T-1 3/4 T/H"
"LED17","LED 3mm","TopLayer","LED3MM","14405.640","4267.370","180","LED RED DIFFUSED T-1 3/4 T/H"
"LED16","LED 3mm","TopLayer","LED3MM","14093.140","4494.410","270","LED RED DIFFUSED T-1 3/4 T/H"
"LED15","LED 3mm","TopLayer","LED3MM","13706.860","4494.410","270","LED RED DIFFUSED T-1 3/4 T/H"
"LED14","LED 3mm","TopLayer","LED3MM","13394.360","4267.370","360","LED RED DIFFUSED T-1 3/4 T/H"
"LED13","LED 3mm","TopLayer","LED3MM","13275.000","3900.000","0","LED RED DIFFUSED T-1 3/4 T/H"
"LED12","LED 3mm","TopLayer","LED3MM","13394.360","3532.630","90","LED RED DIFFUSED T-1 3/4 T/H"
"LED11","LED 3mm","TopLayer","LED3MM","13706.860","3305.590","90","LED RED DIFFUSED T-1 3/4 T/H"
"LED10","LED 3mm","TopLayer","LED3MM","12468.140","3305.590","90","LED RED DIFFUSED T-1 3/4 T/H"
"LED9","LED 3mm","TopLayer","LED3MM","12780.640","3532.630","90","LED RED DIFFUSED T-1 3/4 T/H"
"LED8","LED 3mm","TopLayer","LED3MM","12900.000","3900.000","180","LED RED DIFFUSED T-1 3/4 T/H"
"LED7","LED 3mm","TopLayer","LED3MM","12780.640","4267.370","180","LED RED DIFFUSED T-1 3/4 T/H"
"LED6","LED 3mm","TopLayer","LED3MM","12468.140","4494.410","270","LED RED DIFFUSED T-1 3/4 T/H"
"LED5","LED 3mm","TopLayer","LED3MM","12081.860","4494.410","270","LED RED DIFFUSED T-1 3/4 T/H"
"LED4","LED 3mm","TopLayer","LED3MM","11769.360","4267.370","360","LED RED DIFFUSED T-1 3/4 T/H"
"LED3","LED 3mm","TopLayer","LED3MM","11650.000","3900.000","360","LED RED DIFFUSED T-1 3/4 T/H"
"LED2","LED 3mm","TopLayer","LED3MM","11769.360","3532.630","90","LED RED DIFFUSED T-1 3/4 T/H"
"LED1","LED 3mm","TopLayer","LED3MM","12081.860","3305.590","90","LED RED DIFFUSED T-1 3/4 T/H"
"JIN","PJ-050AH","BottomLayer","CUI_PJ-050AH","342.323","3835.512","180","2.0 x 6.0 mm, 5.0 A, Horizontal, Through Hole, Pick-n-Place Top, Dc Power Jack Connector"
"DP2","SS34FA","BottomLayer","SOD_34FA_ONS","5154.000","3998.000","360","DIODE SCHOTTKY 40V 3A SOD123FA"
"DP1","SS34FA","BottomLayer","SOD_34FA_ONS","3260.000","3915.000","360","DIODE SCHOTTKY 40V 3A SOD123FA"
"DIGITAL","IO_36","TopLayer","HEADER_36X_8MM","4400.000","2450.000","270","CONN HEADER VERT 36POS 2.54MM"
"CR3","0603","BottomLayer","C0603","10750.000","2415.000","360","CAP CER 0.1UF 50V X5R 0603"
"CR2","0603","BottomLayer","C0603","10763.504","3365.000","360","CAP CER 0.1UF 50V X5R 0603"
"CR1","0603","BottomLayer","C0603","10765.000","4310.000","360","CAP CER 0.1UF 50V X5R 0603"
"CP4","Cap Pol","BottomLayer","CAP10X10","4494.000","4548.000","90","CAP ALUM 220UF 20% 35V SMD"
"CP3","Cap Pol","BottomLayer","CAP10X10","5504.000","4368.354","90","CAP ALUM 220UF 20% 35V SMD"
"CP2","Cap Pol","BottomLayer","CAP10X10","2585.827","4570.039","90","CAP ALUM 220UF 20% 35V SMD"
"CP1","Cap Pol","BottomLayer","CAP10X10","3625.000","4265.000","90","CAP ALUM 220UF 20% 35V SMD"
"COMMS","Communication","TopLayer","HEADER_8X1_8.5MM","3700.000","3300.000","180","CONN HEADER VERT 8POS 2.54MM"
"CL13","0603","BottomLayer","C0603","7125.000","2870.000","90","CAP CER 0.1UF 50V X5R 0603"
"CL12","0603","BottomLayer","C0603","5990.000","2860.000","90","CAP CER 0.1UF 50V X5R 0603"
"CL11","0603","BottomLayer","C0603","4810.000","2880.000","90","CAP CER 0.1UF 50V X5R 0603"
"AD_L","AD_L","TopLayer","HEADER_8X1_8.5MM","3000.000","1400.000","360","CONN HEADER VERT 8POS 2.54MM"
"AD_H","AD_H","TopLayer","HEADER_8X1_8.5MM","3900.000","1400.000","360","CONN HEADER VERT 8POS 2.54MM"
